scraped_date,old_date,old_price,new_date,new_price,price_difference,price_growth
2026-07-08,2026-06-07,41.4852,2026-07-07,41.7774,0.2922,0.7043
2026-07-09,2026-06-07,41.4852,2026-07-08,41.7871,0.3019,0.7277
2026-07-18,2025-07-18,37.9444,2026-07-16,41.8652,3.9208,10.333
2026-07-18,2025-07-07,37.844,2026-07-16,41.8652,4.0212,10.6257
2026-07-21,2025-07-10,37.8714,2026-07-20,41.9043,4.0329,10.6489
2026-07-27,2025-07-16,37.9261,2026-07-26,41.9630,4.0369,10.6441
2026-07-29,2025-07-18,37.9444,2026-07-27,41.9729,4.0285,10.6168
2026-07-31,2025-07-20,37.9627,2026-07-30,42.0078,4.0451,10.6555
2026-08-04,2025-07-24,37.9994,2026-08-03,42.0474,4.0480,10.6528
2026-08-05,2025-07-25,38.0086,2026-08-04,42.0574,4.0488,10.6523
2026-08-08,2025-07-28,38.0363,2026-08-06,42.0772,4.0409,10.6238
2026-08-10,2025-07-31,38.064,2026-08-10,42.1171,4.0531,10.6481
