scraped_date,old_date,old_price,new_date,new_price,price_difference,price_growth
2026-07-18,2025-07-18,13.5023,2026-07-16,14.4735,0.9712,7.1928
2026-07-18,2025-07-07,13.4684,2026-07-16,14.4735,1.0051,7.4627
2026-07-21,2025-07-10,13.4776,2026-07-20,14.4856,1.008,7.4791
2026-07-27,2025-07-16,13.4961,2026-07-26,14.5038,1.0077,7.4666
2026-07-29,2025-07-18,13.5023,2026-07-27,14.5067,1.0044,7.4387
2026-07-31,2025-07-20,13.5084,2026-07-30,14.5158,1.0074,7.4576
2026-08-04,2025-07-24,13.5207,2026-08-03,14.5284,1.0077,7.4530
2026-08-05,2025-07-25,13.5238,2026-08-04,14.5315,1.0077,7.4513
2026-08-08,2025-07-28,13.5329,2026-08-06,14.5377,1.0048,7.4249
2026-08-10,2025-07-31,13.5415,2026-08-10,14.5503,1.0088,7.4497
2026-08-12,2025-08-01,13.5439,2026-08-11,14.5534,1.0095,7.4535
2026-08-14,2025-08-03,13.5489,2026-08-12,14.5566,1.0077,7.4375
2026-08-17,2025-08-07,13.5587,2026-08-18,14.5754,1.0167,7.4985
2026-08-19,2025-08-08,13.5607,2026-08-18,14.5754,1.0147,7.4827
2026-08-21,2025-08-10,13.566,2026-08-20,14.5817,1.0157,7.4871
2026-08-21,2025-08-11,13.5685,2026-08-20,14.5817,1.0132,7.4673
2026-08-27,2025-08-16,13.5803,2026-08-24,14.5942,1.0139,7.466
2026-08-27,2025-08-16,13.5803,2026-08-26,14.5997,1.0194,7.5065
2026-08-28,2025-08-18,13.5856,2026-08-27,14.6035,1.0179,7.4925
2026-08-31,2025-08-21,13.5929,2026-08-31,14.616,1.0231,7.5267
2026-09-02,2025-08-22,13.5953,2026-08-31,14.616,1.0207,7.5077
2026-09-02,2025-08-22,13.5953,2026-09-01,14.6191,1.0238,7.5305
2026-09-03,2025-08-23,13.5973,2026-09-02,14.6222,1.0249,7.5375
2026-09-04,2025-08-25,13.6026,2026-09-03,14.6234,1.0208,7.5044
2026-09-04,2025-08-26,13.605,2026-09-03,14.6234,1.0184,7.4855
2026-09-09,2025-08-29,13.6091,2026-09-08,14.6399,1.0308,7.5743
2026-09-10,2025-08-30,13.6116,2026-09-09,14.6432,1.0316,7.5788
2026-09-11,2025-08-31,13.6142,2026-09-10,14.6464,1.0322,7.5818
2026-09-11,2025-09-01,13.6168,2026-09-10,14.6464,1.0296,7.5612
2026-09-11,2025-09-03,13.622,2026-09-12,14.6528,1.0308,7.5672
2026-09-14,2025-09-04,13.6247,2026-09-15,14.6629,1.0382,7.62
2026-09-16,2025-09-05,13.6274,2026-09-15,14.6629,1.0355,7.5987
2026-09-17,2025-09-06,13.6301,2026-09-16,14.6662,1.0361,7.6016
2026-09-18,2025-09-07,13.6328,2026-09-17,14.6693,1.0365,7.603
2026-09-18,2025-09-08,13.6355,2026-09-17,14.6693,1.0338,7.5817
2026-09-21,2025-09-11,13.6435,2026-09-21,14.6818,1.0383,7.6102
2026-09-23,2025-09-12,13.6462,2026-09-22,14.6849,1.0387,7.6116
2026-09-24,2025-09-13,13.6489,2026-09-23,14.688,1.0391,7.6131
