scraped_date,old_date,old_price,new_date,new_price,price_difference,price_growth
2026-07-08,2026-06-07,46.1913,2026-07-07,46.6237,0.4324,0.9361
2026-07-09,2026-06-07,46.1913,2026-07-08,46.6378,0.4465,0.9666
2026-07-16,2026-07-15,46.7374,2026-07-16,46.7535,0.016100000000001558,0.034448
2026-07-18,2025-07-18,42.6093,2026-07-16,46.7535,4.1442,9.726
2026-07-18,2025-07-07,42.5112,2026-07-16,46.7535,4.2423,9.9793
2026-07-21,2025-07-10,42.5381,2026-07-20,46.8097,4.2716,10.0418
2026-07-27,2025-07-16,42.5913,2026-07-26,46.8955,4.3042,10.1058
2026-07-29,2025-07-18,42.6093,2026-07-27,46.9099,4.3006,10.0931
2026-07-31,2025-07-20,42.6274,2026-07-30,46.9583,4.3309,10.1599
2026-08-04,2025-07-24,42.6641,2026-08-03,47.0158,4.3517,10.1999
2026-08-05,2025-07-25,42.6733,2026-08-04,47.0301,4.3568,10.2097
2026-08-08,2025-07-28,42.7010,2026-08-06,47.0584,4.3574,10.2044
2026-08-10,2025-07-31,42.7287,2026-08-10,47.1154,4.3867,10.2664
