scraped_date,old_date,old_price,new_date,new_price,price_difference,price_growth
2026-07-08,2026-06-07,40.4078,2026-07-08,40.7815,0.3737,0.9248
2026-07-18,2025-07-18,37.338,2026-07-16,40.8651,3.5271,9.4464
2026-07-18,2025-07-07,37.2405,2026-07-16,40.8651,3.6246,9.733
2026-07-21,2025-07-10,37.2671,2026-07-20,40.9059,3.6388,9.7641
2026-07-27,2025-07-16,37.3203,2026-07-26,40.9945,3.6742,9.8450
2026-07-29,2025-07-18,37.3380,2026-07-27,41.0046,3.6666,9.8200
2026-07-31,2025-07-20,37.3559,2026-07-30,41.0360,3.6801,9.8515
2026-08-04,2025-07-24,37.3915,2026-08-03,41.0764,3.6849,9.8549
2026-08-05,2025-07-25,37.4005,2026-08-04,41.0866,3.6861,9.8558
2026-08-08,2025-07-28,37.4272,2026-08-06,41.1069,3.6797,9.8316
2026-08-10,2025-07-31,37.454,2026-08-10,41.1526,3.6986,9.875
