scraped_date,old_date,old_price,new_date,new_price,price_difference,price_growth
2026-07-08,2026-06-07,68.8375,2026-07-07,69.3116,0.4741,0.6887
2026-07-09,2026-06-07,68.8375,2026-07-08,68.806,-0.0315,-0.0458
2026-07-16,2026-07-15,68.7725,2026-07-15,67.5406,-1.231899999999996,-1.791268
2026-07-18,2026-07-16,68.9161,2026-07-16,67.6755,-1.2406,-1.8002
2026-07-18,2025-07-18,61.7398,2026-07-16,67.6755,5.9357,9.6141
2026-07-18,2025-07-07,59.1558,2026-07-16,67.6755,8.5197,14.4021
2026-07-21,2025-07-10,59.5378,2026-07-20,67.0998,7.562,12.7012
2026-07-27,2025-07-16,61.2590,2026-07-26,66.9180,5.6590,9.2378
2026-07-29,2025-07-18,61.7398,2026-07-27,66.8910,5.1512,8.3434
2026-07-31,2025-07-20,61.7335,2026-07-30,66.5922,4.8587,7.8704
2026-08-04,2025-07-24,62.4566,2026-08-03,66.5014,4.0448,6.4762
2026-08-05,2025-07-25,62.9014,2026-08-04,66.4564,3.5550,5.6517
2026-08-08,2025-07-28,63.2136,2026-08-06,66.7782,3.5646,5.6390
2026-08-10,2025-07-31,63.6255,2026-08-10,67.1838,3.5583,5.5926
